Date,Location,Rank,Score,Corps
2024-06-26,"Rockford, MI",1st,73.0,Boston Crusaders
2024-06-26,"Rockford, MI",2nd,70.15,Phantom Regiment
2024-06-26,"Rockford, MI",3rd,68.25,The Cavaliers
2024-06-26,"Rockford, MI",4th,66.65,Blue Stars
2024-06-26,"Rockford, MI",5th,65.4,Colts
2024-06-28,"Muncie, IN",1st,74.9,Carolina Crown
2024-06-28,"Muncie, IN",2nd,74.7,Boston Crusaders
2024-06-28,"Muncie, IN",3rd,72.15,Phantom Regiment
2024-06-28,"Muncie, IN",4th,69.1,The Cavaliers
2024-06-28,"Muncie, IN",5th,67.2,Blue Stars
2024-06-28,"Muncie, IN",6th,67.1,Colts
2024-06-28,"Walnut, CA",1st,76.6,Blue Devils
2024-06-28,"Walnut, CA",2nd,72.65,Santa Clara Vanguard
2024-06-28,"Walnut, CA",3rd,71.65,Mandarins
2024-06-28,"Walnut, CA",4th,64.3,Pacific Crest
2024-06-29,"Madison, WI",1st,68.0,Blue Stars
2024-06-29,"Madison, WI",2nd,67.6,Colts
2024-06-29,"Madison, WI",3rd,65.85,Madison Scouts
2024-06-29,"Walnut, CA",1st,77.1,Blue Devils
2024-06-29,"Walnut, CA",2nd,72.35,Santa Clara Vanguard
2024-06-29,"Walnut, CA",3rd,71.25,Mandarins
2024-06-29,"Walnut, CA",4th,62.7,Pacific Crest
2024-06-30,"Lisle, IL",1st,77.1,Carolina Crown
2024-06-30,"Lisle, IL",2nd,76.6,Boston Crusaders
2024-06-30,"Lisle, IL",3rd,73.8,Phantom Regiment
2024-06-30,"Lisle, IL",4th,71.85,The Cavaliers
2024-06-30,"Lisle, IL",5th,70.7,Colts
2024-06-30,"Lisle, IL",6th,70.4,Blue Stars
2024-06-30,"Lisle, IL",7th,67.4,Madison Scouts
2024-06-30,"San Bernardino, CA",1st,77.3,Blue Devils
2024-06-30,"San Bernardino, CA",2nd,73.55,Santa Clara Vanguard
2024-06-30,"San Bernardino, CA",3rd,72.95,Mandarins
2024-06-30,"San Bernardino, CA",4th,64.0,Pacific Crest
2024-07-02,"Mason, OH",1st,78.75,Bluecoats
2024-07-02,"Mason, OH",2nd,78.45,Boston Crusaders
2024-07-02,"Mason, OH",3rd,77.95,Carolina Crown
2024-07-02,"Mason, OH",4th,75.6,Phantom Regiment
