Date,Location,Rank,Score,Corps
2024-07-03,"Cedarburg, WI",1st,75.05,The Cavaliers
2024-07-03,"Cedarburg, WI",2nd,73.35,Blue Stars
2024-07-03,"Cedarburg, WI",3rd,73.15,Colts
2024-07-03,"Cedarburg, WI",4th,70.2,Madison Scouts
2024-07-05,"Clovis, CA",1st,80.6,Blue Devils
2024-07-05,"Clovis, CA",2nd,76.6,Mandarins
2024-07-05,"Clovis, CA",3rd,75.9,Santa Clara Vanguard
2024-07-05,"Clovis, CA",4th,68.65,Pacific Crest
2024-07-05,"Clovis, CA",5th,65.5,The Academy
2024-07-05,"Portland, OR",1st,71.45,Troopers
2024-07-05,"Portland, OR",2nd,69.6,Blue Knights
2024-07-05,"Portland, OR",3rd,61.65,Seattle Cascades
2024-07-05,"Rockford, IL",1st,77.5,Phantom Regiment
2024-07-05,"Rockford, IL",2nd,75.9,The Cavaliers
2024-07-05,"Rockford, IL",3rd,74.1,Blue Stars
2024-07-05,"Rockford, IL",4th,71.35,Madison Scouts
2024-07-06,"Seattle, WA",1st,72.9,Troopers
2024-07-06,"Seattle, WA",2nd,72.25,Blue Knights
2024-07-06,"Seattle, WA",3rd,61.65,Seattle Cascades
2024-07-06,"Stanford, CA",1st,81.3,Blue Devils
2024-07-06,"Stanford, CA",2nd,76.6,Mandarins
2024-07-06,"Stanford, CA",3rd,76.1,Santa Clara Vanguard
2024-07-06,"Stanford, CA",4th,70.7,Pacific Crest
2024-07-06,"Stanford, CA",5th,67.25,The Academy
2024-07-06,"Whitewater, WI",1st,81.9,Bluecoats
2024-07-06,"Whitewater, WI",2nd,79.15,Phantom Regiment
2024-07-06,"Whitewater, WI",3rd,77.15,The Cavaliers
2024-07-06,"Whitewater, WI",4th,75.85,Colts
2024-07-06,"Whitewater, WI",5th,72.5,Madison Scouts
2024-07-07,"La Crosse, WI",1st,83.4,Bluecoats
2024-07-07,"La Crosse, WI",2nd,80.65,Phantom Regiment
2024-07-07,"La Crosse, WI",3rd,76.65,Colts
2024-07-07,"La Crosse, WI",4th,75.55,Blue Stars
2024-07-07,"La Crosse, WI",5th,73.15,Madison Scouts
2024-07-07,"Sacramento, CA",1st,82.05,Blue Devils
2024-07-07,"Sacramento, CA",2nd,78.4,Mandarins
2024-07-07,"Sacramento, CA",3rd,77.5,Santa Clara Vanguard
2024-07-07,"Sacramento, CA",4th,71.05,Pacific Crest
2024-07-07,"Sacramento, CA",5th,68.35,The Academy
2024-07-08,"Kennewick, WA",1st,75.75,Troopers
2024-07-08,"Kennewick, WA",2nd,74.4,Blue Knights
2024-07-08,"Kennewick, WA",3rd,63.15,Seattle Cascades
2024-07-08,"Sevierville, TN",1st,83.45,Carolina Crown
2024-07-08,"Sevierville, TN",2nd,74.65,Crossmen
2024-07-08,"Sevierville, TN",3rd,71.2,Spirit of Atlanta
2024-07-08,"Sevierville, TN",4th,69.95,Music City
2024-07-09,"Boise, ID",1st,80.0,Mandarins
2024-07-09,"Boise, ID",2nd,75.2,Troopers
2024-07-09,"Boise, ID",3rd,73.5,Blue Knights
2024-07-09,"Boise, ID",4th,64.8,Seattle Cascades
2024-07-09,"Mankato, MN",1st,81.4,Phantom Regiment
2024-07-09,"Mankato, MN",2nd,76.95,Colts
2024-07-09,"Mankato, MN",3rd,74.95,Madison Scouts
2024-07-09,"Newnan, GA",1st,84.9,Boston Crusaders
2024-07-09,"Newnan, GA",2nd,76.0,Crossmen
2024-07-09,"Newnan, GA",3rd,72.2,Spirit of Atlanta
2024-07-09,"Newnan, GA",4th,71.25,Music City
2024-07-10,"Ogden, UT",1st,84.0,Blue Devils
2024-07-10,"Ogden, UT",2nd,79.9,Mandarins
2024-07-10,"Ogden, UT",3rd,79.65,Santa Clara Vanguard
2024-07-10,"Ogden, UT",4th,76.65,Troopers
2024-07-10,"Ogden, UT",5th,74.7,Blue Knights
2024-07-10,"Ogden, UT",6th,71.65,Pacific Crest
2024-07-10,"Ogden, UT",7th,70.7,The Academy
2024-07-10,"Ogden, UT",8th,63.9,Seattle Cascades
2024-07-11,"Dubuque, IA",1st,82.9,Phantom Regiment
2024-07-11,"Dubuque, IA",2nd,78.1,Colts
2024-07-11,"Dubuque, IA",2nd,78.1,The Cavaliers
2024-07-11,"Dubuque, IA",4th,78.05,Blue Stars
2024-07-11,"Muscle Shoals, AL",1st,86.05,Boston Crusaders
2024-07-11,"Muscle Shoals, AL",2nd,76.7,Crossmen
2024-07-11,"Muscle Shoals, AL",3rd,72.75,Spirit of Atlanta
2024-07-11,"Muscle Shoals, AL",4th,72.3,Music City
2024-07-12,"Cheyenne, WY",1st,78.4,Troopers
2024-07-12,"Cheyenne, WY",2nd,74.45,Pacific Crest
2024-07-12,"Cheyenne, WY",3rd,71.55,The Academy
2024-07-12,"Cheyenne, WY",4th,67.95,Genesis
2024-07-12,"Cheyenne, WY",5th,64.2,Seattle Cascades
2024-07-13,"Clifton, NJ",1st,63.8,Jersey Surf
2024-07-13,"DeKalb, IL",1st,87.05,Bluecoats
2024-07-13,"DeKalb, IL",2nd,84.75,Phantom Regiment
2024-07-13,"DeKalb, IL",3rd,79.6,The Cavaliers
2024-07-13,"DeKalb, IL",4th,78.9,Blue Stars
2024-07-13,"DeKalb, IL",5th,78.85,Colts
2024-07-13,"DeKalb, IL",6th,74.75,Madison Scouts
2024-07-13,"Fort Collins, CO",1st,85.55,Blue Devils
2024-07-13,"Fort Collins, CO",2nd,82.0,Santa Clara Vanguard
2024-07-13,"Fort Collins, CO",3rd,81.7,Mandarins
2024-07-13,"Fort Collins, CO",4th,77.75,Troopers
2024-07-13,"Fort Collins, CO",5th,75.15,Blue Knights
2024-07-13,"Fort Collins, CO",6th,74.05,Pacific Crest
2024-07-13,"Fort Collins, CO",7th,72.35,The Academy
2024-07-13,"Fort Collins, CO",8th,67.95,Genesis
2024-07-13,"Fort Collins, CO",9th,64.5,Seattle Cascades
2024-07-13,"Little Rock, AR",1st,86.15,Boston Crusaders
2024-07-13,"Little Rock, AR",2nd,85.25,Carolina Crown
2024-07-13,"Little Rock, AR",3rd,77.2,Crossmen
2024-07-13,"Little Rock, AR",4th,75.25,Spirit of Atlanta
2024-07-13,"Little Rock, AR",5th,73.1,Music City
2024-07-14,"Ankeny, IA",1st,88.35,Bluecoats
2024-07-14,"Ankeny, IA",2nd,81.15,Blue Stars
2024-07-14,"Ankeny, IA",3rd,79.8,Colts
2024-07-15,"Canyon, TX",1st,83.25,Santa Clara Vanguard
2024-07-15,"Canyon, TX",2nd,75.6,Pacific Crest
2024-07-15,"Canyon, TX",3rd,75.2,Blue Knights
2024-07-15,"Canyon, TX",4th,72.85,The Academy
2024-07-15,"Canyon, TX",5th,68.2,Genesis
2024-07-15,"Canyon, TX",6th,64.6,Seattle Cascades
2024-07-15,"Olathe, KS",1st,85.35,Phantom Regiment
2024-07-15,"Olathe, KS",2nd,80.1,Colts
2024-07-15,"Olathe, KS",3rd,79.1,Troopers
2024-07-15,"Olathe, KS",4th,76.35,Madison Scouts
2024-07-16,"Abilene, TX",1st,77.7,Blue Knights
2024-07-16,"Abilene, TX",2nd,77.6,Crossmen
2024-07-16,"Abilene, TX",3rd,77.45,Pacific Crest
2024-07-16,"Abilene, TX",4th,73.5,Music City
2024-07-16,"Abilene, TX",5th,69.35,Genesis
2024-07-16,"Abilene, TX",6th,65.85,Seattle Cascades
2024-07-16,"Broken Arrow, OK",1st,89.15,Bluecoats
2024-07-16,"Broken Arrow, OK",2nd,88.25,Blue Devils
2024-07-16,"Broken Arrow, OK",2nd,88.25,Boston Crusaders
2024-07-16,"Broken Arrow, OK",4th,86.75,Carolina Crown
2024-07-16,"Broken Arrow, OK",5th,84.55,Phantom Regiment
2024-07-16,"Broken Arrow, OK",6th,82.5,Mandarins
2024-07-16,"Broken Arrow, OK",7th,80.95,The Cavaliers
2024-07-18,"Denton, TX",1st,90.5,Bluecoats
2024-07-18,"Denton, TX",2nd,89.65,Boston Crusaders
2024-07-18,"Denton, TX",3rd,87.975,Carolina Crown
2024-07-18,"Denton, TX",4th,86.6,Phantom Regiment
2024-07-18,"Denton, TX",5th,84.3,Santa Clara Vanguard
2024-07-18,"Denton, TX",6th,78.05,Crossmen
2024-07-18,"Denton, TX",7th,77.45,Pacific Crest
2024-07-18,"Denton, TX",8th,74.95,Music City
2024-07-18,"Waco, TX",1st,82.6,The Cavaliers
2024-07-18,"Waco, TX",2nd,79.75,Madison Scouts
2024-07-18,"Waco, TX",3rd,79.0,Blue Knights
2024-07-18,"Waco, TX",4th,77.4,Spirit of Atlanta
2024-07-18,"Waco, TX",5th,74.5,The Academy
2024-07-18,"Waco, TX",6th,70.3,Genesis
2024-07-18,"Waco, TX",7th,67.5,Seattle Cascades
2024-07-18,"Waco, TX",8th,65.4,Jersey Surf
2024-07-19,"Houston, TX",1st,92.1,Bluecoats
2024-07-19,"Houston, TX",2nd,91.15,Blue Devils
2024-07-19,"Houston, TX",3rd,89.8,Carolina Crown
2024-07-19,"Houston, TX",4th,86.4,Mandarins
2024-07-19,"Houston, TX",5th,84.0,The Cavaliers
2024-07-19,"Houston, TX",6th,83.4,Blue Stars
2024-07-19,"Houston, TX",7th,81.95,Colts
2024-07-20,"San Antonio, TX",1st,93.025,Bluecoats
2024-07-20,"San Antonio, TX",2nd,91.875,Blue Devils
2024-07-20,"San Antonio, TX",3rd,91.85,Boston Crusaders
2024-07-20,"San Antonio, TX",4th,89.925,Carolina Crown
2024-07-20,"San Antonio, TX",5th,89.625,Phantom Regiment
2024-07-20,"San Antonio, TX",6th,87.525,Santa Clara Vanguard
2024-07-20,"San Antonio, TX",7th,87.225,Mandarins
2024-07-20,"San Antonio, TX",8th,84.938,Blue Stars
2024-07-20,"San Antonio, TX",9th,84.675,The Cavaliers
2024-07-20,"San Antonio, TX",10th,83.35,Colts
2024-07-20,"San Antonio, TX",11th,81.875,Troopers
2024-07-20,"San Antonio, TX",12th,80.05,Madison Scouts
2024-07-20,"San Antonio, TX",13th,79.925,Crossmen
2024-07-20,"San Antonio, TX",14th,79.1,Blue Knights
2024-07-20,"San Antonio, TX",15th,77.375,Pacific Crest
2024-07-20,"San Antonio, TX",16th,77.35,Spirit of Atlanta
2024-07-20,"San Antonio, TX",17th,75.0,The Academy
2024-07-20,"San Antonio, TX",18th,74.35,Music City
2024-07-20,"San Antonio, TX",19th,70.225,Genesis
2024-07-20,"San Antonio, TX",20th,69.225,Seattle Cascades
2024-07-20,"San Antonio, TX",21st,68.875,Jersey Surf
2024-07-22,"Mesquite, TX",1st,90.55,Carolina Crown
2024-07-22,"Mesquite, TX",2nd,88.15,Mandarins
2024-07-22,"Mesquite, TX",3rd,85.3,The Cavaliers
2024-07-22,"Mesquite, TX",4th,83.9,Colts
2024-07-22,"Mesquite, TX",5th,80.8,Crossmen
2024-07-22,"Mesquite, TX",5th,80.8,Madison Scouts
2024-07-22,"Mesquite, TX",7th,78.4,Pacific Crest
2024-07-22,"Mesquite, TX",8th,75.8,Music City
2024-07-22,"Mesquite, TX",8th,75.8,The Academy
2024-07-22,"Mesquite, TX",10th,69.05,Jersey Surf
2024-07-23,"McKinney, TX",1st,89.4,Santa Clara Vanguard
2024-07-23,"McKinney, TX",2nd,89.0,Mandarins
2024-07-23,"McKinney, TX",3rd,85.85,Blue Stars
2024-07-23,"McKinney, TX",4th,82.55,Troopers
2024-07-23,"McKinney, TX",5th,81.3,Blue Knights
2024-07-23,"McKinney, TX",6th,70.2,Seattle Cascades
2024-07-23,"McKinney, TX",7th,70.1,Genesis
2024-07-23,"McKinney, TX",8th,69.0,Jersey Surf
2024-07-24,"Monroe, LA",1st,89.825,Santa Clara Vanguard
2024-07-24,"Monroe, LA",2nd,87.45,Blue Stars
2024-07-24,"Monroe, LA",3rd,86.65,The Cavaliers
2024-07-24,"Monroe, LA",4th,84.0,Troopers
2024-07-24,"Monroe, LA",5th,82.05,Blue Knights
2024-07-24,"Monroe, LA",6th,71.7,Genesis
2024-07-24,"Monroe, LA",7th,69.95,Jersey Surf
2024-07-26,"Birmingham, AL",1st,85.55,Colts
2024-07-26,"Birmingham, AL",2nd,85.35,Troopers
2024-07-26,"Birmingham, AL",3rd,82.45,Blue Knights
2024-07-26,"Birmingham, AL",4th,82.325,Madison Scouts
2024-07-26,"Birmingham, AL",5th,81.0,Spirit of Atlanta
2024-07-26,"Birmingham, AL",6th,80.7,Crossmen
2024-07-26,"Birmingham, AL",7th,71.55,Jersey Surf
2024-07-26,"Murfreesboro, TN",1st,94.45,Bluecoats
2024-07-26,"Murfreesboro, TN",2nd,93.35,Boston Crusaders
2024-07-26,"Murfreesboro, TN",3rd,92.75,Blue Devils
2024-07-26,"Murfreesboro, TN",4th,90.65,Phantom Regiment
2024-07-26,"Murfreesboro, TN",5th,90.5,Carolina Crown
2024-07-26,"Murfreesboro, TN",6th,88.2,Mandarins
2024-07-26,"Murfreesboro, TN",7th,85.45,The Cavaliers
2024-07-26,"Murfreesboro, TN",8th,77.9,Music City
2024-07-27,"Atlanta, GA",1st,94.425,Bluecoats
2024-07-27,"Atlanta, GA",2nd,93.875,Boston Crusaders
2024-07-27,"Atlanta, GA",3rd,93.325,Blue Devils
2024-07-27,"Atlanta, GA",4th,91.65,Phantom Regiment
2024-07-27,"Atlanta, GA",5th,91.575,Carolina Crown
2024-07-27,"Atlanta, GA",6th,89.475,Santa Clara Vanguard
2024-07-27,"Atlanta, GA",7th,88.15,Mandarins
2024-07-27,"Atlanta, GA",8th,86.725,Blue Stars
2024-07-27,"Atlanta, GA",9th,85.85,Colts
2024-07-27,"Atlanta, GA",10th,81.725,Crossmen
2024-07-27,"Atlanta, GA",11th,80.8,Spirit of Atlanta
2024-07-27,"Atlanta, GA",12th,78.45,The Academy
2024-07-27,"Atlanta, GA",13th,73.75,Genesis
2024-07-28,"Winston-Salem, NC",1st,94.7,Bluecoats
2024-07-28,"Winston-Salem, NC",2nd,93.4,Blue Devils
2024-07-28,"Winston-Salem, NC",3rd,91.95,Carolina Crown
2024-07-28,"Winston-Salem, NC",4th,88.8,Mandarins
2024-07-28,"Winston-Salem, NC",5th,86.375,Troopers
2024-07-28,"Winston-Salem, NC",6th,86.0,The Cavaliers
2024-07-28,"Winston-Salem, NC",7th,83.5,Madison Scouts
2024-07-28,"Winston-Salem, NC",8th,82.6,Blue Knights
2024-07-28,"Winston-Salem, NC",9th,82.4,Pacific Crest
2024-07-28,"Winston-Salem, NC",10th,74.95,Music City
2024-07-28,"Winston-Salem, NC",11th,73.275,Seattle Cascades
2024-07-28,"Winston-Salem, NC",12th,72.05,Jersey Surf
2024-07-30,"Centerville, OH",1st,90.25,Mandarins
2024-07-30,"Centerville, OH",2nd,88.45,Blue Stars
2024-07-30,"Centerville, OH",3rd,84.95,Madison Scouts
2024-07-30,"Centerville, OH",4th,80.9,Music City
2024-07-30,"Centerville, OH",5th,76.7,Genesis
2024-07-30,"Newark, DE",1st,95.225,Bluecoats
2024-07-30,"Newark, DE",2nd,94.25,Blue Devils
2024-07-30,"Newark, DE",3rd,90.8,Santa Clara Vanguard
2024-07-30,"Newark, DE",4th,86.65,Troopers
2024-07-30,"Newark, DE",5th,83.4,Blue Knights
2024-07-30,"Newark, DE",6th,82.25,Crossmen
2024-07-30,"Newark, DE",7th,73.45,Jersey Surf
2024-07-30,"Salem, VA",1st,93.2,Carolina Crown
2024-07-30,"Salem, VA",2nd,86.9,Colts
2024-07-30,"Salem, VA",3rd,86.45,The Cavaliers
2024-07-30,"Salem, VA",4th,83.9,Pacific Crest
2024-07-30,"Salem, VA",5th,79.85,The Academy
2024-07-30,"Salem, VA",6th,74.5,Seattle Cascades
2024-07-31,"Huntington, WV",1st,92.275,Phantom Regiment
2024-07-31,"Huntington, WV",2nd,90.5,Mandarins
2024-07-31,"Huntington, WV",3rd,88.475,Blue Stars
2024-07-31,"Huntington, WV",4th,84.65,Madison Scouts
2024-07-31,"Huntington, WV",5th,81.5,Spirit of Atlanta
2024-07-31,"Huntington, WV",6th,77.0,Genesis
2024-08-01,"Lawrence, MA",1st,94.95,Boston Crusaders
2024-08-01,"Lawrence, MA",2nd,92.7,Carolina Crown
2024-08-01,"Lawrence, MA",3rd,91.0,Santa Clara Vanguard
2024-08-01,"Lawrence, MA",4th,87.3,The Cavaliers
2024-08-01,"Lawrence, MA",5th,86.85,Troopers
2024-08-02,"Allentown, PA",1st,95.9,Bluecoats
2024-08-02,"Allentown, PA",2nd,94.65,Blue Devils
2024-08-02,"Allentown, PA",3rd,88.0,Colts
2024-08-02,"Allentown, PA",4th,86.675,The Cavaliers
2024-08-02,"Allentown, PA",5th,84.9,Madison Scouts
2024-08-02,"Allentown, PA",6th,83.275,Pacific Crest
2024-08-02,"Allentown, PA",7th,83.25,Blue Knights
2024-08-02,"Allentown, PA",8th,80.05,The Academy
2024-08-02,"Allentown, PA",9th,79.725,Music City
2024-08-02,"Allentown, PA",10th,76.85,Genesis
2024-08-03,"Rochester, NY",1st,88.8,Colts
2024-08-03,"Rochester, NY",2nd,88.0,The Cavaliers
2024-08-03,"Rochester, NY",3rd,85.35,Blue Knights
2024-08-03,"Rochester, NY",4th,82.1,Music City
2024-08-03,"Rochester, NY",5th,81.0,The Academy
2024-08-03,"Rochester, NY",6th,78.75,Genesis
2024-08-04,"Downingtown, PA",1st,95.55,Boston Crusaders
2024-08-04,"Downingtown, PA",2nd,93.95,Carolina Crown
2024-08-04,"Downingtown, PA",3rd,85.7,Madison Scouts
2024-08-04,"Downingtown, PA",4th,75.7,Jersey Surf
2024-08-05,"Canton, OH",1st,96.0,Bluecoats
2024-08-05,"Canton, OH",2nd,94.7,Boston Crusaders
2024-08-05,"Canton, OH",3rd,94.0,Blue Devils
2024-08-05,"Canton, OH",4th,93.175,Phantom Regiment
2024-08-05,"Canton, OH",5th,90.275,Mandarins
2024-08-05,"Canton, OH",6th,88.7,Blue Stars
2024-08-05,"Canton, OH",7th,87.5,Colts
2024-08-05,"Canton, OH",8th,83.75,Crossmen
2024-08-05,"Canton, OH",9th,82.1,Spirit of Atlanta
2024-08-05,"Pittsburgh, PA",1st,92.6,Santa Clara Vanguard
2024-08-05,"Pittsburgh, PA",2nd,86.4,Madison Scouts
2024-08-05,"Pittsburgh, PA",3rd,82.0,Music City
2024-08-05,"Pittsburgh, PA",4th,81.05,The Academy
2024-08-05,"Pittsburgh, PA",5th,78.25,Genesis
2024-08-05,"Pittsburgh, PA",6th,75.35,Jersey Surf
