date,location,event_name,drum_corps,general_effect1_judge,general_effect2_judge,visual_proficiency_judge,visual_analysis_judge,visual_color_guard_judge,music_brass_judge,music_analysis_judge,music_percussion_judge,general_effect1_score,general_effect2_score,general_effect_total_score,visual_proficiency_score,visual_analysis_score,visual_color_guard_score,visual_total_score,music_brass_score,music_analysis_score,music_percussion_score,music_total_score,total_score
2024-06-26,"Rockford, MI",Midwest Premiere,Blue Stars,Mike Tarr,Kyle Weirich,Juno Orefice,Blair Kuhn,Don Deems,Paul McGarr,Andrew Cook,Mike Leitzke,14.10,13.30,27.40,13.30,12.80,13.40,19.75,12.90,13.60,12.50,19.50,66.65
2024-06-26,"Rockford, MI",Midwest Premiere,Phantom Regiment,Mike Tarr,Kyle Weirich,Juno Orefice,Blair Kuhn,Don Deems,Paul McGarr,Andrew Cook,Mike Leitzke,14.80,14.20,29.00,14.00,13.60,13.60,20.60,13.80,14.20,13.10,20.55,70.15
2024-06-26,"Rockford, MI",Midwest Premiere,Colts,Mike Tarr,Kyle Weirich,Juno Orefice,Blair Kuhn,Don Deems,Paul McGarr,Andrew Cook,Mike Leitzke,13.80,13.00,26.80,13.40,12.60,12.80,19.40,12.70,13.30,12.40,19.20,65.4
2024-06-26,"Rockford, MI",Midwest Premiere,The Cavaliers,Mike Tarr,Kyle Weirich,Juno Orefice,Blair Kuhn,Don Deems,Paul McGarr,Andrew Cook,Mike Leitzke,13.70,13.90,27.60,13.80,13.30,12.90,20.00,13.40,14.10,13.80,20.65,68.25
2024-06-26,"Rockford, MI",Midwest Premiere,Boston Crusaders,Mike Tarr,Kyle Weirich,Juno Orefice,Blair Kuhn,Don Deems,Paul McGarr,Andrew Cook,Mike Leitzke,15.40,14.40,29.80,14.50,14.30,14.50,21.65,14.30,14.70,14.10,21.55,73.0
2024-06-28,"Walnut, CA",Corps at the Crest - Student Edition,Santa Clara Vanguard,Damon Padilla,Caleb Rothe,Robert Solomon,Curtis Costanza,Greg Llacer,Phillip Haines,Wayne Dillon,Chris Romanowski,14.40,15.00,29.40,14.50,14.20,14.10,21.40,14.60,13.80,15.30,21.85,72.65
2024-06-28,"Walnut, CA",Corps at the Crest - Student Edition,Mandarins,Damon Padilla,Caleb Rothe,Robert Solomon,Curtis Costanza,Greg Llacer,Phillip Haines,Wayne Dillon,Chris Romanowski,14.80,14.50,29.30,14.10,14.40,14.40,21.45,14.20,13.40,14.20,20.90,71.65
2024-06-28,"Walnut, CA",Corps at the Crest - Student Edition,Blue Devils,Damon Padilla,Caleb Rothe,Robert Solomon,Curtis Costanza,Greg Llacer,Phillip Haines,Wayne Dillon,Chris Romanowski,15.50,15.50,31.00,15.10,15.20,15.20,22.75,15.10,15.20,15.40,22.85,76.6
2024-06-28,"Walnut, CA",Corps at the Crest - Student Edition,Pacific Crest,Damon Padilla,Caleb Rothe,Robert Solomon,Curtis Costanza,Greg Llacer,Phillip Haines,Wayne Dillon,Chris Romanowski,13.00,13.00,26.00,12.40,12.50,12.80,18.85,12.70,12.70,13.50,19.45,64.3
2024-06-28,"Muncie, IN",DCI Central Indiana,Blue Stars,Brandon Spidel,Nola Jones,Don Deems,Mike Tarr,Tim Landess,Bryan Crisp,Jager Loyde,Julie Davila,13.40,13.80,27.20,13.20,13.30,13.50,20.00,13.30,13.80,12.90,20.00,67.2
